ParticipantID,What is the capital of Finland?,Which of these is NOT the name of one of the three major island groups in the Pacific Ocean?,Transylvania is a region in which country?,What is the capital of Brazil?,Which of these countries does NOT have a ‘dollar’ as a form of currency?,Which ocean separates the eastern coast of USA and Western Europe?,The Amazon Rainforest is in which continent?,Which of these deserts are in South America?,Madagascar is a country in which continent?,"The Angkor Wat is the largest religious monument in the world, located in which country?",Which country has won more FIFA world cups than any other country?,What did Ceylon change its name to in 1972?,What is the capital of Canada?,What is the name of the microstate located between Spain and France?,What is the name of the largest river to flow through Paris?,Constantinople and Byzantium are former names of which major city?,What African country has the largest population?,Score,BFE: I see myself as someone who is talkative,BFA(REV): I see myself as someone who tends to find fault with others,BFC: I see myself as someone who does a thorough job,"BFN: I see myself as someone who is depressed, blue","BFO: I see myself as someone who is original, comes up with new ideas",BFE(REV): I see myself as someone who is reserved,BFA: I see myself as someone who is helpful and unselfish with others,BFC(REV): I see myself as someone who can be somewhat careless,"BFN(REV): I see myself as someone who is relaxed, handles stress well",BFO: I see myself as someone who is curious about many different things,BFE: I see myself as someone who is full of energy,BFA(REV): I see myself as someone who starts quarrels with others,BFC: I see myself as someone who is a reliable worker,BFN: I see myself as someone who can be tense,"BFO: I see myself as someone who is ingenious, a deep thinker",BFE: I see myself as someone who generates a lot of enthusiasm,BFA: I see myself as someone who has a forgiving nature,BFC(REV): I see myself as someone who tends to be disorganised,BFN: I see myself as someone who worries a lot,BFO: I see myself as someone who has an active imagination,BFE(REV): I see myself as someone who tends to be quiet,BFA: I see myself as someone who is generally trusting,BFC(REV): I see myself as someone who tends to be lazy,"BFN(REV): I see myself as someone who is emotionally stable, not easily upset",BFO: I see myself as someone who is inventive,BFE: I see myself as someone who has an assertive personality,BFA(REV): I see myself as someone who can be cold and aloof,BFC: I see myself as someone who perseveres until the task is finished,BFN: I see myself as someone who can be moody,"BFO: I see myself as someone who values artistic, aesthetic experiences","BFE(REV): I see myself as someone who is sometimes shy, inhibited",BFA: I see myself as someone who is considerate and kind to almost everyone,BFC: I see myself as someone who does things efficiently,BFN(REV): I see myself as someone who remains calm in tense situations,BFO(REV): I see myself as someone who prefers work that is routine,"BFE: I see myself as someone who is outgoing, sociable",BFA(REV): I see myself as someone who is sometimes rude to others,BFC: I see myself as someone who makes plans and follows through with them,BFN: I see myself as someone who gets nervous easily,"BFO: I see myself as someone who likes to reflect, play with ideas",BFO(REV): I see myself as someone who has few artistic interests,BFA: I see myself as someone who likes to cooperate with others,BFC(REV): I see myself as someone who is easily distracted,"BFO: I see myself as someone who is sophisticated in art, music or literature",DMR: I prefer to gather all the necessary information before committing to a decision.,DMR: I thoroughly evaluate decision alternatives before making a final choice.,"DMR: In decision making, I take time to contemplate the pros/cons or risks/benefits of a situation.",DMR: Investigating the facts is an important part of my decision-making process.,DMR: I weigh a number of different factors when making decisions.,"DMI: When making decisions, I rely mainly on my gut feelings.",DMI: My initial hunch about decisions is generally what I follow.,DMI: I make decisions based on intuition.,DMI: I rely on my first impressions when making decisions.,DMI: I weight feelings more than analysis in making decisions.
5be39428dd850e0001d2d401,Helsinki,Odesia,Romania,Brasilia,Hong Kong,Atlantic,South America,Patagonian,Africa,Mongolia,Brazil,Sri Lanka,Quebec,Andorra,Seine,Athens,South Africa,12,4,2,5,2,3,4,4,4,2,4,3,3,5,4,4,3,4,4,5,1,3,4,2,3,1,4,2,5,3,1,2,4,4,3,2,3,2,4,3,4,4,3,2,2,4,3,4,3,2,4,3,3,3,4
5a9e9fc46219a30001f54994,Helsinki,Odesia,Romania,Rio de Janeiro,Vietnam,,South America,Patagonian,Africa,Thailand,Brazil,Sri Lanka,Ottawa,Andorra,Seine,Istanbul,Egypt,13,3,4,3,2,4,4,4,4,4,4,4,2,4,2,4,3,3,4,2,4,4,2,4,4,4,4,2,4,2,4,4,4,3,4,4,4,3,4,2,4,4,4,4,4,4,4,4,4,5,4,4,4,4,3
610abbbb784eea92360657e0,Helsinki,Melanesia,Romania,Brasilia,Singapore,Atlantic,South America,Kalahari,Africa,Mongolia,Brazil,Sri Lanka,Ottawa,Andorra,Seine,Istanbul,Nigeria,13,4,3,4,1,4,4,3,4,4,4,4,3,4,4,3,2,4,3,2,4,4,2,4,4,4,4,4,5,3,3,2,3,4,4,4,3,4,5,3,4,3,4,2,3,4,4,3,3,4,2,3,2,3,3
5fd0c81fc79aef1882cbee94,Helsinki,Odesia,Romania,Brasilia,Vietnam,Atlantic,South America,Patagonian,Africa,Cambodia,Brazil,Sri Lanka,Ottawa,Andorra,Seine,Istanbul,Nigeria,17,4,4,1,5,3,4,2,5,1,4,2,4,1,5,4,2,2,5,5,5,2,3,5,1,3,2,4,1,5,4,4,2,1,5,2,2,4,1,5,3,1,2,5,4,2,2,2,3,1,4,4,4,4,4
613ab0960ff3efd039adf1e0,Helsinki,Melanesia,Romania,Brasilia,New Zealand,Atlantic,South America,Patagonian,Africa,Cambodia,Brazil,Sri Lanka,Ottawa,Andorra,Vienne,Istanbul,Nigeria,14,5,5,2,1,5,4,2,5,4,5,2,2,4,4,5,4,3,5,4,4,2,4,4,5,3,4,4,4,5,4,4,4,4,5,4,5,5,5,2,4,1,4,5,4,5,5,5,4,4,4,5,4,5,1
602fb33786b077cdbad2d5bb,Helsinki,Micronesia,Romania,Brasilia,Vietnam,Pacific,South America,Patagonian,Africa,Thailand,Argentina,India,Toronto,Liechtenstein,Rhine,Istanbul,Nigeria,9,1,4,3,4,4,4,5,4,1,4,1,4,5,5,4,2,4,5,5,2,4,2,4,1,2,2,4,3,5,2,4,4,3,2,4,3,4,5,5,3,2,3,4,2,4,4,4,4,3,4,3,4,5,5
5b88002a7bb9e90001f0703f,Helsinki,Melanesia,Romania,Brasilia,Vietnam,Atlantic,South America,Gobi,Africa,Cambodia,Brazil,Pakistan,Ottawa,Liechtenstein,Seine,Istanbul,Nigeria,13,1,3,5,3,3,5,4,1,2,4,3,1,4,4,4,2,3,1,5,4,5,4,2,2,3,1,4,4,3,3,5,4,4,3,5,1,1,4,5,3,4,3,1,2,5,5,5,5,5,2,2,3,3,1
56ce42d9465e580006846f57,Helsinki,Odesia,Romania,Brasilia,Vietnam,Atlantic,South America,Patagonian,Africa,Cambodia,Brazil,Sri Lanka,Toronto,Andorra,Seine,Istanbul,Nigeria,16,1,1,5,3,2,5,3,2,3,3,2,1,5,3,4,2,4,5,4,3,5,2,2,3,2,3,4,5,3,3,5,4,5,3,5,1,2,5,4,4,3,4,2,4,5,5,4,5,5,2,2,2,4,2
6110f275e5e009469800b734,Helsinki,Odesia,Romania,Brasilia,,Atlantic,South America,Gobi,Africa,Thailand,Brazil,Sri Lanka,Quebec,Luxenbourg,Seine,Istanbul,South Africa,11,3,2,4,1,3,4,4,2,3,4,3,3,4,2,4,4,4,1,4,4,3,4,2,3,2,4,3,4,2,4,3,2,3,4,4,3,3,4,1,3,4,4,4,2,4,4,3,4,3,2,4,3,3,4
6089cd0a1c1541c29bb34c73,Helsinki,Micronesia,Albania,Brasilia,Vietnam,Pacific,South America,Patagonian,Africa,Thailand,Brazil,Sri Lanka,Ottawa,Andorra,Seine,Istanbul,Nigeria,13,2,4,5,1,4,5,4,2,4,5,2,1,5,1,5,4,2,1,1,5,5,5,1,1,4,1,5,5,2,4,5,2,4,4,5,2,1,5,1,5,5,4,1,5,5,5,5,4,4,2,2,2,4,2
5ffdd8d1b2325f3c1f6edc6b,Helsinki,Odesia,Romania,Rio de Janeiro,Hong Kong,Atlantic,South America,,,,Brazil,Sri Lanka,Ottawa,Andorra,Seine,Rome,Egypt,10,5,2,5,1,5,2,4,3,5,5,5,2,5,4,5,5,4,2,1,5,3,3,2,5,5,5,4,5,4,5,3,5,5,4,3,5,4,5,1,4,1,5,1,5,5,5,5,4,5,2,3,3,2,2
60ddfb3db6a71ad9ba75e387,Helsinki,Micronesia,Romania,,New Zealand,Atlantic,Central America,Patagonian,Africa,Cambodia,Brazil,Sri Lanka,Ottawa,Andorra,Seine,Istanbul,Nigeria,13,4,2,5,1,5,2,4,2,4,4,4,1,4,2,5,4,4,2,2,5,2,4,2,4,4,4,2,2,2,5,2,5,4,4,2,4,2,4,1,4,2,4,5,4,5,4,5,4,5,4,4,3,2,4
5e8783b0fde5153fbd9dca43,Stockholm,Odesia,Romania,Rio de Janeiro,Vietnam,Atlantic,South America,Gobi,Africa,Thailand,Brazil,Pakistan,Toronto,San Marino,Seine,Athens,,8,1,2,4,4,4,5,4,5,2,3,2,1,3,2,2,1,4,5,3,5,5,4,4,3,3,4,3,4,2,4,5,4,3,4,5,1,2,3,4,5,1,4,4,3,5,5,4,4,4,3,2,2,2,2
63468845287ce634fb0c3dd4,Copenhagen,Micronesia,Bosnia,Rio de Janeiro,Vietnam,Pacific,North America,Great Basin,Africa,,France,Sri Lanka,Toronto,,Rhine,Rome,South Africa,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,4,3,5,5,5,5
62db2644ab0a3a353c0dcb54,Helsinki,Odesia,Romania,Sao Paulo,Vietnam,Atlantic,South America,Patagonian,Africa,Cambodia,Brazil,Bangladesh,Ottawa,Andorra,Seine,Istanbul,Nigeria,15,3,2,4,1,3,3,4,2,5,4,4,1,5,2,3,3,4,2,1,4,3,4,2,5,3,2,2,4,1,4,3,4,4,3,3,4,2,4,2,3,2,3,2,3,4,3,4,3,3,3,4,3,3,3
5b5523d6d8348500012cfccf,Helsinki,Odesia,Romania,Rio de Janeiro,Hong Kong,Pacific,South America,Gobi,Africa,Thailand,Brazil,Sri Lanka,Toronto,Luxenbourg,Seine,Istanbul,Nigeria,10,3,3,3,2,3,4,3,2,4,4,4,2,3,3,3,4,3,3,3,4,4,3,3,4,4,3,3,3,2,5,4,3,3,4,4,2,2,4,2,4,1,3,2,5,3,3,3,3,4,2,3,3,3,3
62e7f9fec0521e596587319d,Helsinki,Melanesia,Romania,Sao Paulo,Hong Kong,Atlantic,South America,Patagonian,Asia,Thailand,Brazil,Bangladesh,Toronto,San Marino,Rhine,Istanbul,South Africa,7,2,3,4,3,4,4,4,3,4,4,4,2,5,3,3,4,4,2,4,4,4,4,3,4,4,1,4,4,2,4,4,4,4,4,4,1,3,5,4,4,4,4,2,3,4,4,4,4,4,2,2,3,2,3
60252b168d445b2c7efd6c32,Helsinki,Micronesia,Romania,Brasilia,Vietnam,Atlantic,South America,Kalahari,South America,Mongolia,Brazil,Sri Lanka,Ottawa,Andorra,Seine,Athens,Nigeria,12,4,4,5,1,4,2,3,4,2,4,4,2,4,4,4,4,2,2,4,4,3,4,4,4,4,4,4,4,4,2,4,3,4,3,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,2,4,3,4,3
62aa33eec600b41d4dc4b4e8,Helsinki,Odesia,Romania,Brasilia,Vietnam,Atlantic,South America,Patagonian,Africa,Thailand,Brazil,Sri Lanka,Ottawa,Luxenbourg,Seine,Istanbul,Nigeria,15,3,4,3,1,4,4,4,2,2,5,5,3,2,2,5,4,2,4,5,5,3,1,2,2,3,5,2,2,2,1,3,4,4,2,1,2,2,2,4,3,5,4,5,1,5,4,5,5,4,3,1,3,2,2
57732cfcda75d30001487571,Helsinki,Melanesia,Romania,Sao Paulo,New Zealand,Atlantic,South America,Patagonian,Africa,Thailand,France,Sri Lanka,Ottawa,Liechtenstein,Vienne,Istanbul,Nigeria,10,1,4,4,5,3,5,4,2,4,4,2,2,4,5,5,2,4,1,5,5,5,3,4,4,3,1,5,4,4,4,4,5,4,2,4,2,4,3,4,4,2,2,5,2,5,5,5,4,4,2,3,3,3,2
5f6b8c1f5622370b0c94d597,Helsinki,Melanesia,Romania,Brasilia,Vietnam,Atlantic,South America,Patagonian,Africa,Cambodia,Brazil,Bangladesh,Ottawa,San Marino,Seine,Istanbul,Nigeria,14,2,2,3,4,4,5,4,4,3,5,2,1,4,2,3,1,5,4,4,4,5,2,4,3,4,1,2,3,1,5,5,4,3,2,4,2,2,4,5,4,1,3,4,2,5,5,5,5,5,2,2,3,1,1
611a78efa6c36a674dc40cc6,Helsinki,Micronesia,Romania,Brasilia,Vietnam,Pacific,South America,Patagonian,Africa,Cambodia,Brazil,Bangladesh,Ottawa,Luxenbourg,Seine,Istanbul,Ghana,12,1,1,3,2,3,4,4,3,3,5,3,1,4,2,2,3,4,4,3,2,5,5,5,3,3,2,2,3,4,2,5,4,3,3,3,2,1,3,3,1,4,4,4,1,4,3,3,4,4,2,3,2,2,2
607f7f18d84d010ea2cd8664,Oslo,Odesia,Romania,Salvador,Hong Kong,Pacific,South America,Great Basin,Africa,Cambodia,Brazil,Bangladesh,Quebec,Luxenbourg,Nile,Rome,South Africa,6,4,2,5,4,5,4,5,1,4,5,5,2,5,4,5,5,4,1,5,5,2,4,1,4,5,4,1,5,2,5,4,5,5,4,3,4,2,5,5,5,1,5,1,4,5,5,5,5,5,1,1,3,2,1
60e93f64ec69ecdac3107555,Helsinki,Micronesia,Romania,Rio de Janeiro,Vietnam,Atlantic,South America,Kalahari,Africa,Thailand,Argentina,Sri Lanka,Ottawa,Luxenbourg,Seine,Athens,Nigeria,10,3,4,5,3,4,4,4,2,2,4,4,3,4,4,4,4,3,2,5,4,3,4,3,3,4,4,4,4,4,4,4,4,4,3,4,3,4,3,5,4,2,4,3,4,5,5,5,5,5,3,4,4,3,2
5e9a2f3ec68a310c7dd56619,Helsinki,Odesia,Romania,Brasilia,Hong Kong,Atlantic,South America,Patagonian,Africa,Laos,Brazil,Pakistan,Ottawa,Andorra,Seine,Athens,Nigeria,13,1,2,5,3,4,5,4,1,2,4,3,1,5,2,4,2,3,1,3,4,5,3,1,3,4,3,2,4,2,2,5,5,5,4,3,1,1,3,2,4,4,3,2,2,5,5,5,5,5,1,1,1,1,1
5f5a713d37f71112463ab4d9,Oslo,Micronesia,Romania,Sao Paulo,Hong Kong,Pacific,South America,Patagonian,Africa,Cambodia,France,Sri Lanka,Toronto,Andorra,Vienne,Istanbul,South Africa,8,2,2,4,5,3,4,4,2,1,5,3,2,4,4,5,3,4,1,5,5,4,3,2,2,4,3,3,5,4,5,5,4,4,2,5,2,2,4,5,5,2,2,4,4,5,5,5,5,5,4,4,4,4,2
6366196f67e21bd61419d473,Oslo,Melanesia,,Rio de Janeiro,Vietnam,Atlantic,South America,Great Basin,Africa,Thailand,Brazil,Bangladesh,Toronto,Andorra,Rhine,Athens,South Africa,6,5,3,5,1,4,3,5,2,5,4,3,1,5,2,2,4,5,1,1,4,2,5,1,5,4,4,2,5,3,4,2,5,4,5,2,3,2,4,2,4,2,5,3,3,4,4,4,4,4,4,5,3,3,4
613fa50d01542277d8eaf5e4,Copenhagen,Melanesia,Czechia,Rio de Janeiro,Vietnam,Atlantic,South America,Kalahari,Africa,Thailand,Brazil,Sri Lanka,Ottawa,Luxenbourg,Vienne,Istanbul,Ghana,8,3,4,4,3,2,5,3,4,2,4,2,2,4,4,3,2,3,1,4,3,5,4,3,3,3,2,4,5,4,4,5,3,4,3,3,4,4,4,5,3,2,4,4,4,4,5,4,4,4,2,4,3,4,3
5dafea4de40355001651fa2f,Helsinki,Odesia,Romania,Brasilia,Vietnam,Atlantic,South America,Patagonian,Africa,Cambodia,Brazil,Sri Lanka,Ottawa,Andorra,Seine,Istanbul,South Africa,16,5,1,3,1,4,3,4,2,4,5,4,1,4,2,4,4,3,2,2,4,2,4,2,5,4,3,2,4,2,4,2,4,4,4,3,4,2,4,2,4,1,4,2,3,3,4,4,4,5,2,3,4,3,3
57dd3b0e91b7fc0001493db9,Helsinki,Odesia,Romania,Brasilia,Hong Kong,Atlantic,South America,Patagonian,Africa,Laos,Brazil,Sri Lanka,Toronto,Luxenbourg,Seine,Istanbul,South Africa,12,3,4,5,3,4,5,4,2,5,4,4,2,5,4,5,3,1,2,3,4,4,1,2,2,4,4,3,4,4,2,2,3,4,5,4,3,2,3,2,4,4,4,2,3,5,4,4,5,5,3,4,4,3,2
5e99c8efae829502a02f6fc8,Helsinki,,Romania,Sao Paulo,Hong Kong,Atlantic,North America,Gobi,Africa,Mongolia,France,Sri Lanka,Toronto,Andorra,Seine,Istanbul,Nigeria,9,5,4,5,3,4,2,5,5,2,5,1,2,5,3,2,3,5,1,5,4,1,5,2,2,3,4,2,5,2,4,2,5,5,2,5,5,1,4,5,4,4,5,5,1,5,5,5,5,5,4,5,5,5,4
603ce82991e3f8aed1ffc327,Helsinki,Micronesia,Czechia,Sao Paulo,Vietnam,Atlantic,North America,Gobi,Africa,Thailand,Germany,Sri Lanka,Toronto,Luxenbourg,Vienne,Rome,South Africa,5,4,4,4,2,4,3,5,1,4,3,4,4,4,2,5,4,4,2,1,5,5,2,4,5,3,4,2,4,3,4,5,4,4,5,3,4,2,4,1,4,4,4,2,4,4,4,4,4,4,3,3,2,2,3
558fa9dffdf99b7ce2924662,Helsinki,Odesia,Romania,Brasilia,Vietnam,Atlantic,South America,Patagonian,Africa,Cambodia,Brazil,Sri Lanka,Quebec,Andorra,Seine,Istanbul,Egypt,15,4,2,4,1,4,5,5,4,5,5,4,1,4,3,4,5,5,4,4,5,4,5,3,4,5,2,2,4,4,5,4,5,4,5,4,5,5,4,4,4,5,4,4,4,5,4,5,4,5,4,5,4,4,4
63068110447ef1aaa9660816,Copenhagen,Odesia,Romania,Rio de Janeiro,Hong Kong,Pacific,South America,Great Basin,Africa,Thailand,Germany,Bangladesh,Toronto,Luxenbourg,Rhine,Kabul,South Africa,4,3,2,4,2,3,3,3,1,3,4,4,1,5,3,3,3,4,1,3,4,3,4,2,4,3,2,3,5,2,4,3,3,4,3,5,2,3,5,2,3,3,4,2,2,4,4,3,3,4,4,3,3,2,4
5e9fe0434aba1b192f795afb,Helsinki,Micronesia,Romania,Rio de Janeiro,New Zealand,Atlantic,Central America,Gobi,Africa,Thailand,Brazil,Sri Lanka,Ottawa,Liechtenstein,Seine,Istanbul,Ghana,9,4,4,4,1,4,2,4,4,2,4,3,2,4,4,2,4,4,2,4,5,2,4,2,4,3,4,1,4,4,2,2,4,4,4,4,4,4,4,4,2,4,4,2,1,4,4,4,4,4,4,4,4,4,3
5e1f46d7ded49f273e668b53,Helsinki,,Romania,Brasilia,Vietnam,Atlantic,South America,Great Basin,Africa,Thailand,Brazil,Sri Lanka,Ottawa,Andorra,Seine,Athens,Ghana,12,5,2,5,1,4,4,5,1,4,5,4,1,5,2,3,3,4,1,4,4,2,5,2,5,3,4,2,5,4,3,3,5,5,4,2,4,1,4,4,2,3,4,4,2,4,5,4,5,4,2,3,2,2,3
5caddec9facb4c0016ed3652,Helsinki,Odesia,Romania,Brasilia,Hong Kong,Atlantic,South America,Patagonian,Africa,,Brazil,Sri Lanka,Ottawa,Andorra,Seine,Istanbul,Egypt,14,4,2,4,1,4,3,5,2,4,5,3,1,4,2,3,3,5,2,3,4,3,4,2,4,4,3,2,5,2,5,3,4,4,4,4,3,2,4,2,4,1,4,2,3,4,4,4,4,4,3,3,4,2,3
581ccd016c73180001fa5b2a,Helsinki,Odesia,Czechia,Brasilia,Hong Kong,Atlantic,South America,Great Basin,Africa,Laos,Brazil,Sri Lanka,Ottawa,San Marino,Seine,Istanbul,Nigeria,12,4,5,4,2,2,3,2,3,2,1,2,2,4,4,1,2,2,4,4,2,2,1,3,4,2,2,4,4,3,1,4,2,4,2,4,2,2,5,4,2,5,3,2,1,5,4,5,5,5,2,2,2,2,2
