Publication Year,
1991-2000,10
2001-2010,11
2011-2020,29
2021-29,29
,
Study Environment/Context,
Text Vignette,44
Imaging Interpretation (e.g. ECG),20
In Situ Questionnaires/Surveys,13
High-Fidelity Simulation,2
,
Participant Experience Levels,
Fixed Across Participants,50
Multiple Experience Groups,29
,
Subdiscipline / Population,
Primary Care / General Practice,26
Medical Students,15
Emergency Medicine,10
Nursing,6
Pathology,4
Radiology,4
Other ,14
,
Study Population Sample Size,
< 100,44
101-200,20
201-300,9
>300,6
,
Total ,79